MONTH,YEAR,PRICE
12,2022,676354
11,2022,680868
10,2022,683780
9,2022,686007
8,2022,694579
7,2022,701764
6,2022,706769
5,2022,698166
4,2022,684317
3,2022,665560
2,2022,649616
1,2022,641554
12,2021,623175
11,2021,610302
10,2021,597643
9,2021,582597
8,2021,567940
7,2021,547215
6,2021,527736
5,2021,509948
4,2021,490722
3,2021,477981
2,2021,466659
1,2021,459049
12,2020,444754
11,2020,441316
10,2020,435577
9,2020,420680
8,2020,417223
7,2020,417317
6,2020,426246
5,2020,426475
4,2020,425237
3,2020,423053
2,2020,421785
1,2020,421519
12,2019,420788
11,2019,419445
10,2019,417693
9,2019,416566
8,2019,415076
7,2019,413167
6,2019,409625
5,2019,407200
4,2019,405267
3,2019,404876
2,2019,403991
1,2019,402544
12,2018,400248
11,2018,397742
10,2018,395634
9,2018,393536
8,2018,391465
7,2018,389682
6,2018,388947
5,2018,387637
4,2018,388070
3,2018,385957
2,2018,383382
1,2018,379075
12,2017,377578
11,2017,376938
10,2017,376701
9,2017,375339
8,2017,374536
7,2017,373068
6,2017,371690
5,2017,370342
4,2017,368841
3,2017,369136
2,2017,367055
1,2017,365404
12,2016,361958
11,2016,360245
10,2016,357858
9,2016,354776
8,2016,351750
7,2016,349629
6,2016,347726
5,2016,346179
4,2016,342809
3,2016,339626
2,2016,338982
1,2016,340245
12,2015,340884
11,2015,337787
10,2015,334293
9,2015,332941
8,2015,332247
7,2015,330723
6,2015,328735
5,2015,326742
4,2015,328323
3,2015,328856
2,2015,328620
1,2015,324754
12,2014,322462
11,2014,323455
10,2014,325892
9,2014,327006
8,2014,326532
7,2014,325603
6,2014,324756
5,2014,323150
4,2014,318497
3,2014,314670
2,2014,310426
1,2014,309245
12,2013,305867
11,2013,303194
10,2013,300214
9,2013,298984
8,2013,296894
7,2013,296342
6,2013,295200
5,2013,293122
4,2013,288910
3,2013,284334
2,2013,279091
1,2013,274727
12,2012,272740
11,2012,270645
10,2012,267264
9,2012,261706
8,2012,258753
7,2012,255707
6,2012,252643
5,2012,250085
4,2012,251626
3,2012,253842
2,2012,258533
1,2012,260329
12,2011,261750
11,2011,260356
10,2011,259728
9,2011,258417
8,2011,257395
7,2011,256971
6,2011,258650
5,2011,261953
4,2011,264082
3,2011,265703
2,2011,267115
1,2011,271493
12,2010,277013
11,2010,284209
10,2010,290737
9,2010,297366
8,2010,301884
7,2010,304938
6,2010,308426
5,2010,311385
4,2010,313203
3,2010,314478
2,2010,315606
1,2010,315747
12,2009,313595
11,2009,311171
10,2009,310335
9,2009,314576
8,2009,320117
7,2009,326535
6,2009,330339
5,2009,333439
4,2009,337313
3,2009,342320
2,2009,344954
1,2009,347861
12,2008,349727
11,2008,353557
10,2008,356888
9,2008,358866
8,2008,360240
7,2008,362950
6,2008,364508
5,2008,365705
4,2008,367158
3,2008,370205
2,2008,376774
1,2008,382641
12,2007,389106
11,2007,393235
10,2007,395602
9,2007,395932
8,2007,398123
7,2007,400070
6,2007,404003
5,2007,407878
4,2007,409343
3,2007,406460
2,2007,402213
1,2007,398598
12,2006,398875
11,2006,400108
10,2006,403523
9,2006,406129
8,2006,404943
7,2006,400512
6,2006,395106
5,2006,390231
4,2006,388674
3,2006,388350
2,2006,385467
1,2006,378857
12,2005,369073
11,2005,359191
10,2005,350330
9,2005,340670
8,2005,332303
7,2005,323893
6,2005,317019
5,2005,309747
4,2005,301832
3,2005,293947
2,2005,287593
1,2005,283619
12,2004,280177
11,2004,276398
10,2004,270577
9,2004,265841
8,2004,261742
7,2004,258588
6,2004,254636
5,2004,251515
4,2004,248384
3,2004,246002
2,2004,243026
1,2004,240444
12,2003,237894
11,2003,235991
10,2003,234635
9,2003,232755
8,2003,230668
7,2003,228715
6,2003,226894
5,2003,225039
4,2003,223078
3,2003,221317
2,2003,219742
1,2003,217887
12,2002,216088
11,2002,214388
10,2002,212726
9,2002,211873
8,2002,210686
7,2002,209998
6,2002,209418
5,2002,208575
4,2002,207454
3,2002,205850
2,2002,204928
1,2002,203878
12,2001,202861
11,2001,201479
10,2001,200836
9,2001,199422
8,2001,198316
7,2001,196213
6,2001,194792
5,2001,193597
4,2001,192915
3,2001,192279
2,2001,191449
1,2001,190911
12,2000,190271
11,2000,189324
10,2000,187758
9,2000,186763
8,2000,186239
7,2000,186419
6,2000,185852
5,2000,184921
4,2000,183733
3,2000,182828
2,2000,181827
1,2000,180617
12,1999,179533
11,1999,178919
10,1999,178272
9,1999,177711
8,1999,176472
7,1999,175585
6,1999,174814
5,1999,174619
4,1999,174281
3,1999,173532
2,1999,172963
1,1999,172479
12,1998,172174
11,1998,171889
10,1998,171970
9,1998,172070
8,1998,172257
7,1998,171785
6,1998,171221
5,1998,170654
4,1998,170432
3,1998,170460
2,1998,169799
1,1998,169093
12,1997,168036
11,1997,167315
10,1997,166504
9,1997,165908
8,1997,165885
7,1997,166208
6,1997,166417
5,1997,166157
4,1997,165461
3,1997,164770
2,1997,164289
1,1997,163959
12,1996,163836
11,1996,163343
10,1996,162749
9,1996,161934
8,1996,160759
7,1996,159519
6,1996,158371
5,1996,157433
4,1996,156634
3,1996,155721
2,1996,155379
1,1996,154946
